"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
41524,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41530,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41548,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41551,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41615,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41660,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41668,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41676,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41770,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41791,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41797,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41799,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41801,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41807,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41872,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
41885,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
44001,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44035,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
44078,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44090,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44098,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
44110,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
44279,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44378,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44420,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44430,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
44560,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
44650,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
44847,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
44855,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
44874,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47001,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
47030,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
47053,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47058,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47161,"center-right","center-right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
47170,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47189,"center-right","right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
47205,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47245,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
47258,"center-right","center-right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
47268,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
47288,"right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47318,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
47460,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
47541,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
47545,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
