"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
68101,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68121,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68132,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68147,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68152,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68160,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68162,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68167,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68169,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68176,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68179,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68190,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68207,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68209,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68211,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68217,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68229,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68235,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68245,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68250,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68255,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68264,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68266,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68271,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68276,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68296,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68298,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68307,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68318,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68320,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68322,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68324,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68327,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68344,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68368,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68370,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68377,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68385,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68397,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68406,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68418,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68425,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68432,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68444,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68464,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68468,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68498,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68500,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68502,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68522,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68524,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68533,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68547,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68549,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68572,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68573,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68575,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68615,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
68655,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68669,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68673,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68679,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68682,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68684,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68686,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68689,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68705,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68720,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68745,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68755,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68770,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68773,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68780,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68820,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68855,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68861,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68867,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68872,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68895,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
70001,"right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70110,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
70124,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70204,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
70215,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70221,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
70230,"right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
70233,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70235,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
70265,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
70400,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
70418,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70429,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
70473,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
70508,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70523,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70670,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70678,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
70702,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70708,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
70713,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
70717,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
70742,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
70771,"right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
70820,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
70823,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
73001,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
73024,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
73026,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73030,"center-right","center-right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73043,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73055,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
73067,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
73124,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73148,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73152,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73168,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73200,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73217,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
73226,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
73236,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73268,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73270,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73275,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73283,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73319,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73347,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73349,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73352,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73408,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
73411,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
73443,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
73449,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73461,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73483,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
73504,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
73520,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73547,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73555,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73563,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73585,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73616,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73622,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73624,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73671,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73675,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73678,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73686,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73770,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73854,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
73861,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
73870,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
73873,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
76001,"center-right","center-left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
76020,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
76036,"right","right","left","center-right","left","center-right","stable right","flip to left","flip to left","flip to right"
76041,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
76054,"center-right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
76100,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
76109,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
76111,"center-right","center-left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76113,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76122,"right","right","right","right","right","left","stable right","stable right","stable right","flip to left"
76126,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
76130,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76147,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
76233,"right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
76243,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
76246,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
76248,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
76250,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
76275,"center-left","left","left","center-right","left","center-right","stable left","stable left","flip to left","flip to right"
76306,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
76318,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76364,"center-right","center-left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76377,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
76400,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
76403,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
76497,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
76520,"center-right","center-left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76563,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76606,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
76616,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
76622,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
76670,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
76736,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
76823,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
76828,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
76834,"right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
76845,"right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
76863,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
76869,"right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
76890,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
76892,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
76895,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
81001,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
81065,"center-right","left","center-right","center-right","left","center-right","flip to left","flip to right","flip to left","flip to right"
81220,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
81300,"center-right","left","center-right","center-right","left","left","flip to left","flip to right","flip to left","stable left"
81591,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
81736,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
81794,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
85001,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85010,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85015,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85125,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85136,"right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
85139,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85162,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85225,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85230,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85250,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85263,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85279,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85300,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85315,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
85325,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85400,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85410,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85430,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
85440,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
86001,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86219,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
86320,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86568,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86569,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86571,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86573,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
86749,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86755,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86757,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86760,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86865,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
86885,"right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
88001,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
88564,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
91001,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
91263,"center-right","left","left","right","left","left","flip to left","stable left","flip to left","stable left"
91405,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
91407,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
91430,"center-left","left","left","right","left","left","stable left","stable left","flip to left","stable left"
91460,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
91530,"center-right","right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
91536,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
91540,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
91669,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
91798,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
94001,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
94343,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
94663,"center-right","right",NA,"center-right","right",NA,"stable right","flip to left","stable right","flip to left"
94883,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
94884,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
94885,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
94886,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
94887,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
94888,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
95001,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
95015,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
95025,"center-right","right","center-right","center-right","right","left","stable right","stable right","stable right","flip to left"
95200,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
97001,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
97161,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
97511,"center-right","center-right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
97666,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
97777,"center-right","center-right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
97889,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
99001,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
99524,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
99624,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
99773,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
